OBJECTID,RELI,E_KOORD,E_ZENTER,N_KOORD,N_ZENTER,B20BM14,B20BM15,B20BM16,B20BM17,B20BM18,B20BM19,M_TOT,B20BW14,B20BW15,B20BW16,B20BW17,B20BW18,B20BW19,W_TOT,TOT
52,68462481,2684600,2684650,1248100,1248150,3,0,0,0,3,0,6,3,0,3,0,3,0,9,15
53,68462510,2684600,2684650,1251000,1251050,3,0,0,3,0,3,9,3,0,3,0,0,0,6,15
54,68462461,2684600,2684650,1246100,1246150,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3
55,68462451,2684600,2684650,1245100,1245150,3,3,3,0,3,0,12,3,3,3,3,3,0,15,27
56,68462478,2684600,2684650,1247800,1247850,0,0,0,3,0,0,3,0,0,3,0,0,0,3,6
57,68472456,2684700,2684750,1245600,1245650,3,3,0,0,3,0,9,3,0,3,0,0,3,9,18
58,68472484,2684700,2684750,1248400,1248450,3,3,3,0,3,0,12,3,0,3,3,0,0,9,21
59,68482487,2684800,2684850,1248700,1248750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,68482510,2684800,2684850,1251000,1251050,3,3,0,0,3,0,9,3,0,3,3,0,3,12,21
61,68492517,2684900,2684950,1251700,1251750,5,0,3,3,3,0,14,4,3,3,0,3,0,13,27
62,68492461,2684900,2684950,1246100,1246150,4,5,3,3,0,0,15,8,7,9,3,3,0,30,45
63,68492467,2684900,2684950,1246700,1246750,3,3,3,3,0,3,15,3,3,0,3,0,0,9,24
64,68492464,2684900,2684950,1246400,1246450,0,3,0,3,0,0,6,5,3,0,3,0,3,14,20
65,68492485,2684900,2684950,1248500,1248550,3,0,3,0,0,0,6,3,3,3,0,0,0,9,15
66,68502476,2685000,2685050,1247600,1247650,0,3,3,0,0,3,9,3,3,3,3,3,3,18,27
67,68502510,2685000,2685050,1251000,1251050,3,0,3,3,0,0,9,3,3,0,0,0,0,6,15
68,68502452,2685000,2685050,1245200,1245250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,68502508,2685000,2685050,1250800,1250850,3,0,3,0,0,0,6,0,3,3,0,0,0,6,12
70,68512448,2685100,2685150,1244800,1244850,4,3,0,0,0,0,7,3,3,3,0,0,3,12,19
71,68512463,2685100,2685150,1246300,1246350,3,3,3,0,0,0,9,3,4,3,3,0,0,13,22
72,68522511,2685200,2685250,1251100,1251150,3,3,0,3,3,0,12,3,3,3,3,3,3,18,30
73,68522447,2685200,2685250,1244700,1244750,3,0,0,3,0,0,6,0,3,0,0,0,0,3,9
74,68532516,2685300,2685350,1251600,1251650,3,0,0,0,0,0,3,3,0,0,0,0,0,3,6
75,68532514,2685300,2685350,1251400,1251450,3,3,3,3,3,0,15,3,3,7,0,3,3,19,34
76,68532506,2685300,2685350,1250600,1250650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,68552520,2685500,2685550,1252000,1252050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,68552521,2685500,2685550,1252100,1252150,0,0,3,0,0,0,3,0,3,0,0,0,0,3,6
79,68552456,2685500,2685550,1245600,1245650,3,3,0,0,0,0,6,0,3,3,0,0,0,6,12
80,68562456,2685600,2685650,1245600,1245650,6,3,3,3,3,0,18,7,3,0,3,0,3,16,34
81,68562509,2685600,2685650,1250900,1250950,3,3,3,0,0,0,9,3,0,0,0,0,0,3,12
82,68562475,2685600,2685650,1247500,1247550,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3
83,68582511,2685800,2685850,1251100,1251150,4,0,3,0,0,3,10,4,3,3,4,0,0,14,24
84,68582474,2685800,2685850,1247400,1247450,0,3,0,3,0,0,6,0,3,3,3,0,0,9,15
